FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,02,-- bevande alcoliche e tabacchi,2022,111.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,02,-- bevande alcoliche e tabacchi,2023,115.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,02,-- bevande alcoliche e tabacchi,2024,117.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,03,-- abbigliamento e calzature,2016,100.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,03,-- abbigliamento e calzature,2017,100.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,03,-- abbigliamento e calzature,2018,101,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,03,-- abbigliamento e calzature,2019,101.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,03,-- abbigliamento e calzature,2020,102,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,03,-- abbigliamento e calzature,2021,102.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,03,-- abbigliamento e calzature,2022,104.4,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,03,-- abbigliamento e calzature,2023,107.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,03,-- abbigliamento e calzature,2024,108.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,04,'-- abitazione, acqua, elettricità, gas e altri combustibili',2016,98.3,,
